"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweetid"
"1","Danielle Beaulieu did another League of Legends boudoir themed with Jeremiah Seymour Photograph... ",FALSE,0,NA,2017-12-17 02:13:52,FALSE,NA,"942216241204350976",NA,"<a href=""http://www.wonderland.fm/"" rel=""nofollow"">wonderland.fm</a>","porquepechos",0,FALSE,FALSE,NA,NA,1
"2","New of Call of Duty Ghosts on Ebay : League of Legends account Platinum Champions 78  Skins 38 ",FALSE,0,NA,2017-12-17 02:10:18,TRUE,NA,"942215345837871105",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ebayCodGhosts",0,FALSE,FALSE,NA,NA,2
"3","I'm Such A NOOB!!!- League Of Legends Christmas Update: via @YouTube",FALSE,0,NA,2017-12-17 02:09:45,FALSE,NA,"942215207283249152",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","rubencarias21",0,FALSE,FALSE,NA,NA,3
"4","League of Legends: Loading Screen (EDSA Edition)",FALSE,0,NA,2017-12-17 02:09:42,FALSE,NA,"942215192678612993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DowellTheTurd",0,FALSE,FALSE,NA,NA,4
"5","I'm realsing the logo for anyone who whants to be play these games they are better then league of legends",FALSE,0,"Darthground23",2017-12-17 02:09:38,FALSE,"941860126926999552","942215179298844672","937428016132706306","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Darthground23",0,FALSE,FALSE,NA,NA,5
"6","RT @dewyycs: STREAMING LEAGUE OF LEGENDS UNRANKED TO CHALLENGER @AgonyGG @SupStreamers @nightrts @hyperrts @TwitchR",FALSE,0,NA,2017-12-17 02:09:06,FALSE,NA,"942215044745527296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AgonyGG",5,TRUE,FALSE,NA,NA,6
"7"," DM me for my Battletag, Discord ",FALSE,0,NA,2017-12-17 02:08:21,TRUE,NA,"942214856433860608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keriannkitty",0,FALSE,FALSE,NA,NA,7
"8","I liked a @YouTube video Rammix | League of Legends Community Collab",FALSE,0,NA,2017-12-17 02:05:43,FALSE,NA,"942214192735686656",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","TeemoIsFed",0,FALSE,FALSE,NA,NA,8
"9","RT @Youth_Esports: Our League of Legends tournament at #YEAWinterFest is starting NOW! Tune in and show some support for your favorite high",FALSE,0,NA,2017-12-17 02:05:37,FALSE,NA,"942214165615198208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrsLlewellyn1",2,TRUE,FALSE,NA,NA,9
"10","RT @Freestyler4523: Come chill! Playing League of legends!
@SKUMGaming
",FALSE,0,NA,2017-12-17 02:01:50,FALSE,NA,"942213215588634625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SKUMGaming",1,TRUE,FALSE,NA,NA,10
"11","Come chill! Playing League of legends!
@SKUMGaming
",FALSE,2,NA,2017-12-17 02:01:16,FALSE,NA,"942213070490763264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Freestyler4523",1,FALSE,FALSE,NA,NA,11
"12","I liked a @YouTube video Knock Off League of Legends Games",FALSE,1,NA,2017-12-17 01:59:32,FALSE,NA,"942212634086166528",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","LunaITGalaxy",0,FALSE,FALSE,NA,NA,12
"13","New of Call of Duty Ghosts on Ebay : League of Legends account Platinum Champions 78  Skins 38 ",FALSE,0,NA,2017-12-17 01:55:11,TRUE,NA,"942211540316557312",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ebayCodGhosts",0,FALSE,FALSE,NA,NA,13
"14","That moment when karma hits u bad .. u cant even play one match in league of legends without losing ... #not #my #day",FALSE,0,NA,2017-12-17 01:54:55,FALSE,NA,"942211472578547712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wa_wado",0,FALSE,FALSE,NA,NA,14
"15","RT @TheKillerStone: going to be playing some League of Legends here soon, hopefully I don't suck to bad.
",FALSE,0,NA,2017-12-17 01:51:10,FALSE,NA,"942210528272936961",NA,"<a href=""https://www.youtube.com/channel/UCUEL73s4SXcsyi85XbRj5OQ"" rel=""nofollow"">botski 30</a>","zimisss",1,TRUE,FALSE,NA,NA,15
"16","RT @dewyycs: STREAMING LEAGUE OF LEGENDS UNRANKED TO CHALLENGER @AgonyGG @SupStreamers @nightrts @hyperrts @TwitchR",FALSE,0,NA,2017-12-17 01:51:02,FALSE,NA,"942210495775260678",NA,"<a href=""http://SupportStreamers.com"" rel=""nofollow"">SupportStreamers</a>","SupStreamers",5,TRUE,FALSE,NA,NA,16
"17","I added a video to a @YouTube playlist KLEPTONAMI JE OP ! | League of Legends",FALSE,0,NA,2017-12-17 01:50:42,FALSE,NA,"942210411709042689",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Pidja_95",0,FALSE,FALSE,NA,NA,17
"18","going to be playing some League of Legends here soon, hopefully I don't suck to bad.
",FALSE,0,NA,2017-12-17 01:49:51,FALSE,NA,"942210199456239616",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheKillerStone",1,FALSE,FALSE,NA,NA,18
"19","RT @dewyycs: STREAMING LEAGUE OF LEGENDS UNRANKED TO CHALLENGER @AgonyGG @SupStreamers @nightrts @hyperrts @TwitchR",FALSE,0,NA,2017-12-17 01:49:31,FALSE,NA,"942210115628863488",NA,"<a href=""http://www.google.com"" rel=""nofollow"">asdahydasd</a>","Bear_Retweets",5,TRUE,FALSE,NA,NA,19
"20","RT @ASUS_ROG: 3x world champion, #SKTT1 #Faker, has won the Esports Player of the Year award at this year's The Game Awards! --&gt; ",FALSE,0,NA,2017-12-17 01:47:56,FALSE,NA,"942209718570795008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mooncloud235",156,TRUE,FALSE,NA,NA,20
